"Step","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return__MAX","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return__MAX","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return__MAX"
"17152","366.6666564941406","366.6666564941406","366.6666564941406","366.6666564941406","366.6666564941406","366.6666564941406","","","","","","","100","100","100","","",""
"17280","100","100","100","100","100","100","","","","","","","","","","","",""
"17376","","","","","","","300","300","300","","","","","","","","",""
"17408","","","","","","","","","","","","","150","150","150","","",""
"17536","210","210","210","210","210","210","","","","200","200","200","200","200","200","","",""
"17664","200","200","200","200","200","200","","","","","","","233.3333282470703","233.3333282470703","233.3333282470703","","",""
"17792","250","250","250","250","250","250","","","","","","","287.5","287.5","287.5","","",""
"17920","150","150","150","150","150","150","","","","","","","125","125","125","","",""
"18048","150","150","150","150","150","150","","","","","","","375","375","375","","",""
"18304","100","100","100","100","100","100","","","","800","800","800","350","350","350","","",""
"18432","150","150","150","150","150","150","","","","","","","200","200","200","","",""
"18560","","","","","","","","","","","","","300","300","300","","",""
"18688","","","","","","","","","","116.66666412353516","116.66666412353516","116.66666412353516","150","150","150","","",""
"18816","225","225","225","233.3333282470703","233.3333282470703","233.3333282470703","","","","","","","50","50","50","","",""
"18944","","","","","","","","","","","","","300","300","300","","",""
"19072","325","325","325","325","325","325","","","","","","","250","250","250","","",""
"19200","100","100","100","125","125","125","","","","","","","","","","125","125","125"
"19328","200","200","200","250","250","250","","","","","","","150","150","150","","",""
"19456","250","250","250","150","150","150","","","","","","","200","200","200","","",""
"19584","116.66666412353516","116.66666412353516","116.66666412353516","133.3333282470703","133.3333282470703","133.3333282470703","","","","","","","100","100","100","","",""
"19712","175","175","175","150","150","150","","","","","","","250","250","250","","",""
"19808","","","","","","","50","50","50","","","","","","","","",""
"19840","300","300","300","300","300","300","","","","","","","200","200","200","","",""
"19968","150","150","150","","","","","","","","","","200","200","200","","",""
"20096","400","400","400","287.5","287.5","287.5","","","","","","","800","800","800","333.3333435058594","333.3333435058594","333.3333435058594"
"20224","350","350","350","350","350","350","","","","","","","125","125","125","","",""
"20352","","","","","","","","","","275","275","275","225","225","225","","",""
"20480","300","300","300","300","300","300","","","","","","","140","140","140","","",""
"20608","150","150","150","116.66666412353516","116.66666412353516","116.66666412353516","","","","","","","150","150","150","","",""
"20736","175","175","175","","","","50","50","50","","","","233.3333282470703","233.3333282470703","233.3333282470703","","",""
"20864","250","250","250","250","250","250","","","","","","","183.3333282470703","183.3333282470703","183.3333282470703","","",""
"20992","325","325","325","300","300","300","","","","175","175","175","200","200","200","","",""
"21120","400","400","400","525","525","525","","","","","","","100","100","100","","",""
"21200","","","","","","","250","250","250","","","","","","","","",""
"21248","300","300","300","266.6666564941406","266.6666564941406","266.6666564941406","","","","175","175","175","350","350","350","","",""
"21376","100","100","100","100","100","100","","","","450","450","450","175","175","175","","",""
"21504","","","","","","","","","","75","75","75","275","275","275","","",""
"21632","325","325","325","300","300","300","","","","","","","200","200","200","","",""
"21760","250","250","250","275","275","275","","","","","","","","","","","",""
"21888","175","175","175","150","150","150","","","","","","","","","","","",""
"22016","","","","","","","","","","","","","300","300","300","","",""
"22144","100","100","100","100","100","100","","","","","","","383.3333435058594","383.3333435058594","383.3333435058594","","",""
"22272","275","275","275","316.6666564941406","316.6666564941406","316.6666564941406","","","","","","","","","","","",""
"22352","","","","","","","100","100","100","","","","","","","","",""
"22400","","","","","","","","","","","","","200","200","200","","",""
"22528","200","200","200","200","200","200","","","","","","","416.6666564941406","416.6666564941406","416.6666564941406","","",""
"22656","400","400","400","","","","","","","","","","250","250","250","","",""
"22784","150","150","150","150","150","150","","","","","","","250","250","250","","",""
"22912","337.5","337.5","337.5","337.5","337.5","337.5","","","","","","","375","375","375","","",""
"23040","","","","","","","","","","","","","350","350","350","","",""
"23168","150","150","150","300","300","300","","","","","","","100","100","100","150","150","150"
"23296","466.6666564941406","466.6666564941406","466.6666564941406","","","","","","","","","","","","","","",""
"23424","450","450","450","300","300","300","","","","","","","350","350","350","","",""
"23552","300","300","300","","","","","","","","","","400","400","400","","",""
"23680","400","400","400","375","375","375","","","","383.3333435058594","383.3333435058594","383.3333435058594","","","","","",""
"23808","450","450","450","","","","","","","500","500","500","450","450","450","","",""
"23936","100","100","100","375","375","375","","","","","","","300","300","300","","",""
"24064","","","","450","450","450","","","","","","","250","250","250","","",""
"24192","250","250","250","250","250","250","","","","","","","300","300","300","","",""
"24320","216.6666717529297","216.6666717529297","216.6666717529297","216.6666717529297","216.6666717529297","216.6666717529297","","","","","","","425","425","425","","",""
"24448","100","100","100","200","200","200","","","","","","","375","375","375","","",""
"24496","","","","","","","150","150","150","","","","","","","","",""
"24576","150","150","150","150","150","150","","","","300","300","300","300","300","300","","",""
"24704","225","225","225","225","225","225","","","","","","","","","","","",""
"24832","550","550","550","550","550","550","","","","","","","500","500","500","550","550","550"
"24944","","","","","","","200","200","200","","","","","","","","",""
"24960","450","450","450","450","450","450","","","","","","","","","","","",""
"25088","225","225","225","183.3333282470703","183.3333282470703","183.3333282470703","","","","","","","325","325","325","","",""
"25104","","","","","","","150","150","150","","","","","","","","",""
"25216","250","250","250","250","250","250","","","","200","200","200","216.6666717529297","216.6666717529297","216.6666717529297","","",""
"25344","133.3333282470703","133.3333282470703","133.3333282470703","150","150","150","","","","","","","650","650","650","","",""
"25472","350","350","350","300","300","300","","","","","","","225","225","225","","",""
"25600","200","200","200","375","375","375","","","","","","","150","150","150","","",""
"25728","325","325","325","375","375","375","","","","","","","300","300","300","","",""
"25856","","","","300","300","300","","","","","","","166.6666717529297","166.6666717529297","166.6666717529297","","",""
"26112","50","50","50","50","50","50","","","","300","300","300","150","150","150","","",""
"26240","100","100","100","125","125","125","","","","","","","175","175","175","100","100","100"
"26368","183.3333282470703","183.3333282470703","183.3333282470703","66.66666412353516","66.66666412353516","66.66666412353516","","","","","","","200","200","200","","",""
"26496","675","675","675","483.3333435058594","483.3333435058594","483.3333435058594","","","","","","","","","","","",""
"26624","250","250","250","250","250","250","","","","150","150","150","200","200","200","","",""
"26752","400","400","400","250","250","250","","","","","","","150","150","150","","",""
"26880","150","150","150","283.3333435058594","283.3333435058594","283.3333435058594","","","","","","","175","175","175","","",""
"27008","100","100","100","600","600","600","","","","","","","200","200","200","","",""
"27136","183.3333282470703","183.3333282470703","183.3333282470703","225","225","225","","","","","","","350","350","350","","",""
"27264","","","","","","","","","","","","","200","200","200","","",""
"27392","75","75","75","0","0","0","","","","","","","200","200","200","","",""
"27520","200","200","200","200","200","200","","","","","","","","","","","",""
"27648","150","150","150","150","150","150","","","","","","","650","650","650","","",""
"27776","200","200","200","200","200","200","","","","","","","50","50","50","","",""
"27904","350","350","350","350","350","350","","","","","","","200","200","200","","",""
"27952","","","","","","","150","150","150","","","","","","","","",""
"28032","250","250","250","100","100","100","","","","","","","150","150","150","","",""
"28160","216.6666717529297","216.6666717529297","216.6666717529297","183.3333282470703","183.3333282470703","183.3333282470703","","","","","","","200","200","200","","",""
"28272","","","","","","","50","50","50","","","","","","","","",""
"28288","233.3333282470703","233.3333282470703","233.3333282470703","275","275","275","","","","","","","","","","","",""
"28416","350","350","350","50","50","50","","","","","","","","","","","",""
"28544","375","375","375","275","275","275","","","","","","","150","150","150","","",""
"28672","150","150","150","","","","","","","","","","100","100","100","","",""
"28800","400","400","400","150","150","150","","","","","","","","","","","",""
"28928","100","100","100","175","175","175","","","","","","","200","200","200","","",""
"29056","340","340","340","166.6666717529297","166.6666717529297","166.6666717529297","","","","","","","366.6666564941406","366.6666564941406","366.6666564941406","","",""
"29184","150","150","150","","","","","","","","","","","","","","",""
"29312","","","","","","","","","","","","","150","150","150","","",""
"29440","700","700","700","700","700","700","","","","50","50","50","","","","","",""
"29472","","","","","","","250","250","250","","","","","","","","",""
"29568","100","100","100","150","150","150","","","","","","","150","150","150","","",""
"29696","","","","","","","","","","","","","225","225","225","","",""
"29824","150","150","150","150","150","150","","","","","","","437.5","437.5","437.5","","",""
"29952","175","175","175","175","175","175","","","","","","","","","","","",""
"30080","","","","100","100","100","","","","","","","233.3333282470703","233.3333282470703","233.3333282470703","","",""
"30160","","","","","","","250","250","250","","","","","","","","",""
"30208","183.3333282470703","183.3333282470703","183.3333282470703","","","","","","","","","","266.6666564941406","266.6666564941406","266.6666564941406","","",""
"30336","250","250","250","100","100","100","","","","","","","","","","","",""
"30464","350","350","350","350","350","350","","","","","","","133.3333282470703","133.3333282470703","133.3333282470703","","",""
"30560","","","","","","","200","200","200","","","","","","","","",""
"30592","250","250","250","216.6666717529297","216.6666717529297","216.6666717529297","","","","","","","116.66666412353516","116.66666412353516","116.66666412353516","","",""
"30720","150","150","150","150","150","150","","","","","","","100","100","100","","",""
"30848","250","250","250","100","100","100","","","","","","","212.5","212.5","212.5","","",""
"30976","116.66666412353516","116.66666412353516","116.66666412353516","100","100","100","","","","","","","150","150","150","","",""
"31104","","","","","","","","","","","","","150","150","150","","",""
"31232","250","250","250","","","","","","","","","","200","200","200","","",""
"31360","300","300","300","","","","","","","","","","","","","","",""
"31488","150","150","150","300","300","300","","","","","","","175","175","175","","",""
"31616","200","200","200","200","200","200","","","","","","","250","250","250","","",""
"31712","","","","","","","250","250","250","","","","","","","","",""
"31744","","","","150","150","150","","","","","","","300","300","300","","",""
"31872","200","200","200","200","200","200","","","","","","","200","200","200","","",""
"32000","275","275","275","216.6666717529297","216.6666717529297","216.6666717529297","","","","","","","","","","","",""
"32128","","","","150","150","150","","","","","","","","","","","",""
"32256","400","400","400","500","500","500","","","","","","","150","150","150","","",""
"32384","","","","","","","","","","325","325","325","100","100","100","","",""
"32512","350","350","350","250","250","250","","","","","","","500","500","500","","",""
"32640","","","","350","350","350","","","","","","","","","","","",""
"32768","50","50","50","0","0","0","","","","","","","50","50","50","","",""
"32896","","","","","","","","","","","","","325","325","325","","",""
"33024","","","","","","","","","","","","","362.5","362.5","362.5","","",""
"33152","","","","","","","","","","","","","150","150","150","","",""
"33280","","","","","","","","","","","","","375","375","375","","",""
"33408","","","","","","","","","","","","","125","125","125","","",""
"33664","","","","","","","","","","","","","200","200","200","","",""
"33728","","","","","","","350","350","350","","","","","","","","",""
"33744","","","","","","","150","150","150","","","","","","","","",""
"33920","","","","","","","","","","","","","150","150","150","125","125","125"
"34048","","","","","","","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","","",""
"34176","","","","","","","","","","","","","150","150","150","266.6666564941406","266.6666564941406","266.6666564941406"
"34304","","","","","","","","","","","","","200","200","200","","",""
"34432","","","","","","","","","","","","","175","175","175","","",""
"34560","","","","","","","","","","","","","200","200","200","166.6666717529297","166.6666717529297","166.6666717529297"
"34688","","","","","","","","","","","","","216.6666717529297","216.6666717529297","216.6666717529297","","",""
"34816","","","","","","","","","","","","","50","50","50","","",""
"34944","","","","","","","","","","","","","250","250","250","","",""
"35200","","","","","","","","","","","","","350","350","350","","",""
"35328","","","","","","","","","","","","","350","350","350","","",""
"35456","","","","","","","","","","275","275","275","280","280","280","","",""
"35584","","","","","","","","","","","","","200","200","200","","",""
"35712","","","","","","","","","","","","","400","400","400","","",""
"35840","","","","","","","","","","","","","50","50","50","","",""
"35968","","","","","","","","","","","","","350","350","350","","",""
"36096","","","","","","","","","","175","175","175","400","400","400","","",""
"36192","","","","","","","250","250","250","","","","","","","","",""
"36224","","","","","","","","","","","","","150","150","150","","",""
"36352","","","","","","","","","","","","","362.5","362.5","362.5","","",""
"36608","","","","","","","","","","375","375","375","150","150","150","","",""
"36736","","","","","","","","","","","","","125","125","125","","",""
"36864","","","","","","","","","","","","","200","200","200","","",""
"36992","","","","","","","","","","275","275","275","125","125","125","","",""
"37120","","","","","","","","","","","","","450","450","450","","",""
"37376","","","","","","","","","","","","","150","150","150","","",""
"37504","","","","","","","","","","225","225","225","350","350","350","","",""
"37632","","","","","","","","","","","","","150","150","150","","",""
"37760","","","","","","","","","","","","","100","100","100","","",""
"37888","","","","","","","","","","","","","300","300","300","","",""
"38016","","","","","","","","","","","","","225","225","225","","",""
"38144","","","","","","","","","","","","","250","250","250","","",""
"38272","","","","","","","","","","150","150","150","","","","200","200","200"
"38400","","","","","","","","","","","","","75","75","75","","",""
"38656","","","","","","","400","400","400","","","","","","","","",""
"38784","","","","","","","","","","","","","350","350","350","","",""
"38912","","","","","","","300","300","300","","","","183.3333282470703","183.3333282470703","183.3333282470703","","",""
"39040","","","","","","","","","","","","","83.33333587646484","83.33333587646484","83.33333587646484","","",""
"39168","","","","","","","","","","","","","100","100","100","","",""
"39424","","","","","","","","","","","","","250","250","250","","",""
"39552","","","","","","","","","","","","","250","250","250","","",""
"39680","","","","","","","","","","","","","50","50","50","","",""
"39808","","","","","","","","","","","","","100","100","100","","",""
"39936","","","","","","","","","","","","","300","300","300","","",""
"40064","","","","","","","","","","","","","100","100","100","","",""
"40192","","","","","","","","","","250","250","250","216.6666717529297","216.6666717529297","216.6666717529297","","",""
"40320","","","","","","","","","","","","","350","350","350","","",""
"40448","","","","","","","","","","","","","150","150","150","","",""
"40576","","","","","","","","","","","","","600","600","600","","",""
"40704","","","","","","","","","","","","","450","450","450","","",""
"40832","","","","","","","","","","","","","375","375","375","","",""
"40960","","","","","","","","","","","","","50","50","50","","",""
"41216","","","","","","","","","","","","","425","425","425","","",""
"41280","","","","","","","225","225","225","","","","","","","","",""
"41344","","","","","","","","","","","","","150","150","150","","",""
"41600","","","","","","","","","","","","","200","200","200","","",""
"41728","","","","","","","","","","250","250","250","175","175","175","","",""
"41856","","","","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","250","250","250","","",""
"41984","","","","","","","","","","","","","250","250","250","","",""
"42112","","","","","","","","","","","","","225","225","225","","",""
"42240","","","","","","","","","","","","","50","50","50","","",""
"42496","","","","","","","","","","","","","250","250","250","","",""
"42624","","","","","","","","","","","","","150","150","150","","",""
"42752","","","","","","","","","","","","","250","250","250","","",""
"42880","","","","","","","","","","","","","0","0","0","","",""
"43008","","","","","","","","","","50","50","50","125","125","125","","",""
"43264","","","","","","","","","","","","","150","150","150","","",""
"43392","","","","","","","","","","","","","275","275","275","","",""
"43520","","","","","","","","","","","","","300","300","300","","",""
"43648","","","","","","","","","","","","","225","225","225","","",""
"43776","","","","","","","","","","","","","216.6666717529297","216.6666717529297","216.6666717529297","","",""
"44032","","","","","","","","","","","","","350","350","350","","",""
"44160","","","","","","","","","","150","150","150","150","150","150","","",""
"44288","","","","","","","","","","","","","175","175","175","","",""
"44416","","","","","","","","","","","","","300","300","300","","",""
"44544","","","","","","","","","","","","","","","","200","200","200"
"44672","","","","","","","","","","","","","375","375","375","","",""
"44928","","","","","","","","","","","","","375","375","375","","",""
"45056","","","","","","","","","","","","","250","250","250","","",""
"45184","","","","","","","","","","","","","100","100","100","","",""
"45440","","","","","","","","","","","","","100","100","100","","",""
"45568","","","","","","","","","","","","","425","425","425","","",""
"45696","","","","","","","","","","","","","250","250","250","","",""
"45824","","","","","","","","","","300","300","300","150","150","150","","",""
"45952","","","","","","","","","","","","","100","100","100","","",""
"46080","","","","","","","","","","","","","350","350","350","","",""
"46208","","","","","","","","","","","","","175","175","175","","",""
"46336","","","","","","","","","","","","","225","225","225","","",""
"46464","","","","","","","","","","","","","266.6666564941406","266.6666564941406","266.6666564941406","","",""
"46528","","","","","","","250","250","250","","","","","","","","",""
"46592","","","","","","","","","","","","","250","250","250","","",""
"46720","","","","","","","","","","","","","316.6666564941406","316.6666564941406","316.6666564941406","","",""
"46848","","","","","","","","","","","","","300","300","300","","",""
"46976","","","","","","","","","","","","","100","100","100","","",""
"47104","","","","","","","","","","","","","250","250","250","","",""
"47232","","","","","","","","","","","","","50","50","50","","",""
"47552","","","","","","","150","150","150","","","","","","","","",""
"47584","","","","","","","600","600","600","","","","","","","","",""
"47616","","","","","","","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","","",""
"47744","","","","","","","","","","","","","200","200","200","","",""
"47872","","","","","","","","","","","","","266.6666564941406","266.6666564941406","266.6666564941406","","",""
"48000","","","","","","","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","","",""
"48128","","","","","","","","","","","","","100","100","100","","",""
"48640","","","","","","","","","","","","","250","250","250","","",""
"48768","","","","","","","","","","","","","250","250","250","","",""
"48816","","","","","","","150","150","150","","","","","","","","",""
"48896","","","","","","","","","","","","","350","350","350","","",""
"49024","","","","","","","","","","","","","","","","450","450","450"
"49072","","","","","","","350","350","350","","","","","","","","",""
"49152","","","","","","","","","","","","","233.3333282470703","233.3333282470703","233.3333282470703","","",""
"49280","","","","","","","","","","100","100","100","150","150","150","","",""
"49408","","","","","","","","","","","","","400","400","400","","",""
"49664","","","","","","","","","","","","","220","220","220","","",""
"49696","","","","","","","300","300","300","","","","","","","","",""
"49792","","","","","","","","","","","","","475","475","475","","",""
"49872","","","","","","","100","100","100","","","","","","","","",""
"50048","","","","","","","","","","233.3333282470703","233.3333282470703","233.3333282470703","150","150","150","","",""
"50304","","","","","","","","","","175","175","175","50","50","50","","",""
"50432","","","","","","","","","","","","","100","100","100","","",""
"50560","","","","","","","","","","","","","400","400","400","","",""
"50688","","","","","","","","","","","","","200","200","200","","",""
"50944","","","","","","","","","","","","","350","350","350","","",""
"51072","","","","","","","","","","","","","200","200","200","","",""
"51200","","","","","","","","","","400","400","400","400","400","400","","",""
"51328","","","","","","","","","","","","","300","300","300","","",""
"51456","","","","","","","","","","","","","350","350","350","","",""
"51584","","","","","","","","","","","","","350","350","350","","",""
"51712","","","","","","","","","","","","","100","100","100","","",""
"51840","","","","","","","","","","","","","350","350","350","","",""
"52096","","","","","","","","","","","","","125","125","125","","",""
"52224","","","","","","","","","","","","","100","100","100","200","200","200"
"52352","","","","","","","","","","","","","225","225","225","","",""
"52480","","","","","","","","","","","","","250","250","250","","",""
"52736","","","","","","","","","","","","","175","175","175","","",""
"52864","","","","","","","","","","","","","250","250","250","","",""
"52992","","","","","","","","","","","","","700","700","700","","",""
"53120","","","","","","","","","","","","","112.5","112.5","112.5","","",""
"53248","","","","","","","","","","","","","175","175","175","","",""
"53264","","","","","","","750","750","750","","","","","","","","",""
"53376","","","","","","","","","","","","","400","400","400","","",""
"53952","","","","","","","200","200","200","","","","","","","","",""
"53968","","","","","","","100","100","100","","","","","","","","",""
"54464","","","","","","","450","450","450","","","","","","","","",""
